,class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
69,1,0,0,MM,BdlSMOTE,SVC,0.9950406123086536,0.9927699603513955,0.9973445798188066,0.9950520123115286,0.9950406123086536,0.9891060557513618,0.0,0.0,0.0,0.4956647398843931
70,1,0,0,SD,BdlSMOTE,LogisticReg,0.8166979069040925,0.7320856227106227,0.9989846922836614,0.8449597040560181,0.8166979069040925,0.581864786927267,0.0030627871362940277,0.5714285714285714,0.006092916984006093,0.5766584090283512
71,1,0,0,SD,BdlSMOTE,DecisionTree,0.9225632614807873,0.866639560886359,0.9988284910965324,0.9280505061499946,0.9225632614807873,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501
72,1,0,0,SD,BdlSMOTE,RandomForest,0.9847703842549204,0.9720152091254752,0.9982817869415808,0.9849734145025815,0.9847703842549204,0.9548221723806473,0.014492753623188406,0.2857142857142857,0.02758620689655172,0.6210202770896411
73,1,0,0,SD,BdlSMOTE,LightGBM,0.8910106216807248,0.8217338217338217,0.9986722899094033,0.9016040895469768,0.8910106216807248,0.7157962191605255,0.0045045045045045045,0.5714285714285714,0.00893854748603352,0.6437746582255253
74,1,0,0,SD,BdlSMOTE,SVC,0.9974617307091533,0.9975783141942036,0.9973445798188066,0.997461433313806,0.9974617307091534,0.9942326177507209,0.0,0.0,0.0,0.49823378291586384
75,1,0,0,RB,BdlSMOTE,LogisticReg,0.8666432364885973,0.7900166800518935,0.9987503905029679,0.8822048221861958,0.8666432364885974,0.6831143864146108,0.003036437246963563,0.42857142857142855,0.006030150753768845,0.5561290026607946
76,1,0,0,RB,BdlSMOTE,DecisionTree,0.9225632614807873,0.866639560886359,0.9988284910965324,0.9280505061499946,0.9225632614807873,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501
77,1,0,0,RB,BdlSMOTE,RandomForest,0.9847703842549204,0.9720152091254752,0.9982817869415808,0.9849734145025815,0.9847703842549204,0.9548221723806473,0.014492753623188406,0.2857142857142857,0.02758620689655172,0.6210202770896411
78,1,0,0,RB,BdlSMOTE,LightGBM,0.8745704467353952,0.7998624484181568,0.9991408934707904,0.8884644766997708,0.8745704467353952,0.6991348926626081,0.002136752136752137,0.2857142857142857,0.0042417815482502655,0.4928892558950362
79,1,0,0,RB,BdlSMOTE,SVC,0.9740315526398,0.9524412970555348,0.9978912839737581,0.9746367138334794,0.9740315526397999,0.9384812560076898,0.010582010582010581,0.2857142857142857,0.02040816326530612,0.6128314524268281
